湖南电信,#genre#
CCTV15,http://223.156.138.239:4022/udp/239.76.245.252:1234
CCTV16,http://223.156.138.239:4022/udp/239.76.246.98:1234
CCTV17,http://223.156.138.239:4022/udp/239.76.245.238:1234
CGTN阿语,http://223.156.138.239:4022/udp/239.76.246.97:1234
CGTN俄语,http://223.156.138.239:4022/udp/239.76.246.86:1234
CGTN法语,http://223.156.138.239:4022/udp/239.76.246.87:1234
CGTN纪录,http://223.156.138.239:4022/udp/239.76.245.66:1234
CGTN西语,http://223.156.138.239:4022/udp/239.76.246.88:1234
CGTN英语,http://223.156.138.239:4022/udp/239.76.245.67:1234
CHC动作电影,http://223.156.138.239:4022/udp/239.76.245.243:1234
CHC高清电影,http://223.156.138.239:4022/udp/239.76.245.242:1234
CHC家庭影院,http://223.156.138.239:4022/udp/239.76.245.241:1234
中央新影老故事,http://223.156.138.239:4022/udp/239.76.246.76:1234
安徽卫视,http://223.156.138.239:4022/udp/239.76.245.196:1234
北京卫视,http://223.156.138.239:4022/udp/239.76.246.184:1234
湖南卫视,http://223.156.138.239:4022/udp/239.76.246.100:1234
湖南卫视,http://223.156.138.239:4022/udp/239.76.246.101:1234
湖南卫视,http://223.156.138.239:4022/udp/239.76.245.115:1234
东方卫视,http://223.156.138.239:4022/udp/239.76.246.186:1234
东南卫视,http://223.156.138.239:4022/udp/239.76.245.190:1234
凤凰中文,http://223.156.138.239:4022/udp/239.76.246.7:1234
凤凰资讯,http://223.156.138.239:4022/udp/239.76.246.135:1234
凤凰资讯,http://223.156.138.239:4022/udp/239.76.246.8:1234
甘肃卫视,http://223.156.138.239:4022/udp/239.76.246.94:1234
广东卫视,http://223.156.138.239:4022/udp/239.76.245.189:1234
贵州卫视,http://223.156.138.239:4022/udp/239.76.245.198:1234
海南卫视,http://223.156.138.239:4022/udp/239.76.246.203:1234
三沙卫视,http://223.156.138.239:4022/udp/239.76.246.74:1234
河北卫视,http://223.156.138.239:4022/udp/239.76.245.199:1234
河南卫视,http://223.156.138.239:4022/udp/239.76.246.202:1234
黑龙江卫视,http://223.156.138.239:4022/udp/239.76.246.200:1234
湖北卫视,http://223.156.138.239:4022/udp/239.76.246.193:1234
吉林卫视,http://223.156.138.239:4022/udp/239.76.246.201:1234
江苏卫视,http://223.156.138.239:4022/udp/239.76.246.181:1234
江西卫视,http://223.156.138.239:4022/udp/239.76.245.225:1234
辽宁卫视,http://223.156.138.239:4022/udp/239.76.245.197:1234
山东卫视,http://223.156.138.239:4022/udp/239.76.246.195:1234
深圳卫视,http://223.156.138.239:4022/udp/239.76.246.188:1234
四川卫视,http://223.156.138.239:4022/udp/239.76.246.91:1234
康巴卫视,http://223.156.138.239:4022/udp/239.76.246.89:1234
天津卫视,http://223.156.138.239:4022/udp/239.76.246.185:1234
浙江卫视,http://223.156.138.239:4022/udp/239.76.246.182:1234
重庆卫视,http://223.156.138.239:4022/udp/239.76.246.92:1234
四海钓鱼,http://223.156.138.239:4022/udp/239.76.246.4:1234
快乐垂钓,http://223.156.138.239:4022/udp/239.76.246.5:1234
快乐垂钓,http://223.156.138.239:4022/udp/239.76.245.127:1234
